loc	datname
NYcounties	Nystatecounties
NYcentral	centralNY
Israel	Israel
Tokyo1	JapanTokyo
Kanagawa	KanagawaJapan
Tokyo2	Tokyo
Peru	Peru
Mexico	Mexico
Selangor	Selangor
Perak	Perak
SultanHamad	SultanHamad
Java	Java
Memphis	Memphis
HongKong	HongKong
Serengeti	SD
Ngorongoro	ND
